[10/03/2014 00:00:46] | *** LOGGER STARTED ***
[10/03/2014 00:00:46] | [WARNING] fr.nemolovich.apps.securefolder.config.ConfigUtils{Constructor}: C:\Users\COMPUMONSTER\git\secureFodler.ini
[10/03/2014 00:00:46] | [INFO] Configurations loaded
[10/03/2014 00:00:46] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:00:46] | [ERROR] fr.nemolovich.apps.securefolder.file.FileUtils{removeFolder}: The source folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test'] does not exist
[10/03/2014 00:00:46] | [INFO] Saving the current configuration...
[10/03/2014 00:00:46] | [INFO] Current configurations saved
[10/03/2014 00:00:46] | *** LOGGER CLOSED ***
[10/03/2014 00:00:57] | *** LOGGER STARTED ***
[10/03/2014 00:00:57] | [WARNING] fr.nemolovich.apps.securefolder.config.ConfigUtils{Constructor}: C:\Users\COMPUMONSTER\git\secureFodler.ini
[10/03/2014 00:00:57] | [INFO] Configurations loaded
[10/03/2014 00:00:57] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:00:57] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:00:57] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:00:57] | [ERROR] fr.nemolovich.apps.securefolder.config.ConfigUtils{getProperty}: Can not found properties 'batchs.folder'
[10/03/2014 00:03:09] | *** LOGGER STARTED ***
[10/03/2014 00:03:09] | [WARNING] fr.nemolovich.apps.securefolder.config.ConfigUtils{Constructor}: C:\Users\COMPUMONSTER\git\secureFodler.ini
[10/03/2014 00:03:09] | [INFO] Configurations loaded
[10/03/2014 00:03:09] | [ERROR] fr.nemolovich.apps.securefolder.command.CommandLine{execute}: Please specify options
[10/03/2014 00:03:09] | [INFO] Saving the current configuration...
[10/03/2014 00:03:09] | [INFO] Current configurations saved
[10/03/2014 00:03:09] | *** LOGGER CLOSED ***
[10/03/2014 00:03:49] | *** LOGGER STARTED ***
[10/03/2014 00:03:49] | [WARNING] fr.nemolovich.apps.securefolder.config.ConfigUtils{Constructor}: C:\Users\COMPUMONSTER\git\secureFodler.ini
[10/03/2014 00:03:49] | [ERROR] fr.nemolovich.apps.securefolder.config.ConfigUtils{Constructor}: Can not found properties file ['C:\Users\COMPUMONSTER\git\secureFodler.ini']
[10/03/2014 00:03:49] | [INFO] Creating new configurations file...
[10/03/2014 00:03:49] | [INFO] Saving the current configuration...
[10/03/2014 00:03:49] | [INFO] Current configurations saved
[10/03/2014 00:03:49] | [INFO] Configurations loaded
[10/03/2014 00:03:49] | [ERROR] fr.nemolovich.apps.securefolder.command.CommandLine{execute}: Please specify options
[10/03/2014 00:03:49] | [INFO] Saving the current configuration...
[10/03/2014 00:03:49] | [INFO] Current configurations saved
[10/03/2014 00:03:49] | *** LOGGER CLOSED ***
[10/03/2014 00:04:23] | *** LOGGER STARTED ***
[10/03/2014 00:04:23] | [INFO] Configurations loaded
[10/03/2014 00:04:23] | [ERROR] fr.nemolovich.apps.securefolder.command.CommandLine{execute}: Please specify options
[10/03/2014 00:04:23] | [INFO] Saving the current configuration...
[10/03/2014 00:04:23] | [INFO] Current configurations saved
[10/03/2014 00:04:23] | *** LOGGER CLOSED ***
[10/03/2014 00:04:27] | *** LOGGER STARTED ***
[10/03/2014 00:04:27] | [INFO] Configurations loaded
[10/03/2014 00:04:27] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:04:27] | [ERROR] fr.nemolovich.apps.securefolder.file.FileUtils{removeFolder}: The source folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test'] does not exist
[10/03/2014 00:04:27] | [INFO] Saving the current configuration...
[10/03/2014 00:04:27] | [INFO] Current configurations saved
[10/03/2014 00:04:27] | *** LOGGER CLOSED ***
[10/03/2014 00:04:36] | *** LOGGER STARTED ***
[10/03/2014 00:04:36] | [INFO] Configurations loaded
[10/03/2014 00:04:36] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:04:36] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:04:36] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:04:36] | [INFO] Operating System is: windows 7
[10/03/2014 00:04:36] | [ERROR] fr.nemolovich.apps.securefolder.batch.BatchUtils{init}: Resources path does not exist
[10/03/2014 00:04:36] | [INFO] Saving the current configuration...
[10/03/2014 00:04:36] | [INFO] Current configurations saved
[10/03/2014 00:04:36] | *** LOGGER CLOSED ***
